kode_okupasi,nama_okupasi,job_family,kkni_level,kkni_label,min_years_exp,edu_level_min,skill_tags,area_kode,domain
TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),Machine Learning Engineering,7,Ahli Pertama / Perdana,5,S1,"['machine learning', 'python', 'deep learning', 'mlops', 'cloud']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0704,INSINYUR KECERDASAN ARTIFICIAL (AI ENGINEER),AI Engineering,7,Ahli Pertama / Perdana,5,S1,"['AI', 'deep learning', 'python', 'NLP', 'computer vision', 'LLM']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0602,ANALIS DATA (DATA ANALYST),Data Analytics,6,Teknisi/Analis Madya,3,S1,"['data analysis', 'SQL', 'python', 'visualization', 'tableau', 'power bi']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0604,ADMINISTRATOR BASIS DATA (DATABASE ADMINISTRATOR),Data Management,6,Teknisi/Analis Madya,3,S1,"['SQL', 'database', 'performance tuning', 'backup', 'indexing']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0605,ANALIS INTELIJEN BISNIS (BUSINESS INTELLIGENCE ANALYST),Data Analytics,6,Teknisi/Analis Madya,3,S1,"['business intelligence', 'SQL', 'tableau', 'power bi', 'dashboard']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0606,ANOTATOR (ANNOTATOR),Data Operations,6,Teknisi/Analis Madya,3,S1,"['data annotation', 'labeling', 'NLP', 'computer vision']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0607,INSINYUR KUALITAS DATA (DATA QUALITY ENGINEER),Data Management,6,Teknisi/Analis Madya,3,S1,"['data quality', 'data validation', 'SQL', 'python']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0601,SUPERVISOR ILMUWAN DATA (DATA SCIENTIST SUPERVISOR),Data Science,6,Teknisi/Analis Madya,3,S1,"['machine learning', 'python', 'statistics', 'team lead', 'SQL']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0603,SUPERVISOR INSINYUR DATA (DATA ENGINEER SUPERVISOR),Data Engineering,6,Teknisi/Analis Madya,3,S1,"['spark', 'python', 'SQL', 'ETL', 'pipeline', 'team lead']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0501,ILMUWAN DATA MUDA (ASSOCIATE DATA SCIENTIST),Data Science,5,Teknisi/Analis Muda,2,S1,"['python', 'statistics', 'machine learning', 'SQL', 'data analysis']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0503,INSINYUR DATA MUDA (ASSOCIATE DATA ENGINEER),Data Engineering,5,Teknisi/Analis Muda,2,S1,"['python', 'SQL', 'ETL', 'data pipeline', 'spark']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0502,ANALIS DATA MUDA (ASSOCIATE DATA ANALYST),Data Analytics,5,Teknisi/Analis Muda,2,S1,"['SQL', 'excel', 'data analysis', 'visualization', 'python']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0301,TEKNISI MANAJEMEN DATA (DATA MANAGEMENT TECHNICIAN),Data Operations,3,Teknisi Junior,1,D3,"['data entry', 'data management', 'excel', 'database']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0201,OPERATOR ENTRI DATA (DATA ENTRY OPERATOR),Data Operations,2,Operator,0,SMA/SMK,"['data entry', 'excel', 'typing']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
TIK.DSC0202,STAF ANOTATOR (ANNOTATOR STAFF),Data Operations,2,Operator,0,SMA/SMK,"['data annotation', 'labeling', 'attention to detail']",DSC,SAINS DATA-KECERDASAN ARTIFISIAL (DATA SCIENCE-ARTIFICIAL INTELLIGENCE)
