job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,hiring_urgency,job_openings,kkni_level_mapped,kkni_label,skill_list,skill_count,edu_level
20,AI Engineer,Enterprise,Finance,Germany,Hybrid,Mid,13,PhD,0,0,0,0,1,122869,Medium,2,6,Teknisi/Analis Madya,['cloud'],1,S3
21,Data Scientist,MNC,Finance,Germany,Remote,Mid,3,Bachelor,1,1,1,0,0,109735,Low,1,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning']",3,S1
22,Data Analyst,Enterprise,Education,Singapore,Hybrid,Mid,5,Master,1,0,0,1,1,99893,Low,2,6,Teknisi/Analis Madya,"['python', 'deep learning', 'cloud']",3,S2
23,Data Scientist,Startup,Technology,Canada,Onsite,Senior,0,Bachelor,1,1,1,0,1,121060,Low,5,7,Ahli Pertama / Perdana,"['python', 'sql', 'machine learning', 'cloud']",4,S1
24,Data Scientist,Medium,E-commerce,Singapore,Onsite,Entry,12,PhD,0,1,0,0,1,63319,Medium,3,5,Teknisi/Analis Muda,"['sql', 'cloud']",2,S3
25,Machine Learning Engineer,Enterprise,Education,India,Onsite,Mid,14,Master,1,0,1,0,0,125784,Medium,2,6,Teknisi/Analis Madya,"['python', 'machine learning']",2,S2
26,Data Scientist,Enterprise,Education,Singapore,Remote,Mid,9,PhD,0,1,0,1,0,92992,High,7,6,Teknisi/Analis Madya,"['sql', 'deep learning']",2,S3
27,AI Engineer,Startup,Education,Australia,Onsite,Senior,11,PhD,1,1,1,0,0,154146,Medium,6,7,Ahli Pertama / Perdana,"['python', 'sql', 'machine learning']",3,S3
28,Data Engineer,Startup,Education,India,Hybrid,Mid,3,Bachelor,1,1,0,1,0,88124,Low,5,6,Teknisi/Analis Madya,"['python', 'sql', 'deep learning']",3,S1
29,AI Engineer,Startup,Technology,Australia,Remote,Mid,2,PhD,0,1,1,1,0,140635,High,2,6,Teknisi/Analis Madya,"['sql', 'machine learning', 'deep learning']",3,S3
30,Data Analyst,Startup,Retail,Germany,Hybrid,Senior,4,Master,1,0,1,0,0,111931,High,9,7,Ahli Pertama / Perdana,"['python', 'machine learning']",2,S2
31,Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Mid,8,Master,1,0,0,0,1,129662,High,7,6,Teknisi/Analis Madya,"['python', 'cloud']",2,S2
32,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,5,Bachelor,0,0,1,1,0,127141,High,1,7,Ahli Pertama / Perdana,"['machine learning', 'deep learning']",2,S1
33,AI Engineer,MNC,Healthcare,India,Remote,Senior,13,Bachelor,1,0,0,1,1,182849,Medium,6,7,Ahli Pertama / Perdana,"['python', 'deep learning', 'cloud']",3,S1
34,Machine Learning Engineer,Medium,Retail,India,Remote,Entry,3,Bachelor,1,1,1,0,1,119087,Low,1,5,Teknisi/Analis Muda,"['python', 'sql', 'machine learning', 'cloud']",4,S1
35,AI Engineer,Medium,Retail,Germany,Remote,Entry,2,Bachelor,0,0,1,0,0,103913,Low,1,5,Teknisi/Analis Muda,['machine learning'],1,S1
36,Business Analyst,Startup,Technology,Singapore,Hybrid,Mid,2,Bachelor,1,0,0,0,1,86748,High,8,6,Teknisi/Analis Madya,"['python', 'cloud']",2,S1
37,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,4,Master,1,0,0,0,1,145728,Low,4,7,Ahli Pertama / Perdana,"['python', 'cloud']",2,S2
38,Data Scientist,MNC,Healthcare,Canada,Remote,Senior,2,Bachelor,1,1,1,0,0,136806,High,8,7,Ahli Pertama / Perdana,"['python', 'sql', 'machine learning']",3,S1
39,Data Scientist,Enterprise,E-commerce,Singapore,Remote,Senior,13,Bachelor,0,0,1,1,1,136365,High,9,7,Ahli Pertama / Perdana,"['machine learning', 'deep learning', 'cloud']",3,S1
40,Data Scientist,MNC,Technology,Canada,Remote,Senior,6,Bachelor,1,1,0,1,1,145486,Low,3,7,Ahli Pertama / Perdana,"['python', 'sql', 'deep learning', 'cloud']",4,S1
41,Data Analyst,MNC,Finance,Germany,Onsite,Entry,6,Bachelor,1,0,0,0,0,71541,High,7,5,Teknisi/Analis Muda,['python'],1,S1
42,Data Analyst,Enterprise,E-commerce,UK,Onsite,Mid,11,PhD,0,1,1,1,0,101542,High,6,6,Teknisi/Analis Madya,"['sql', 'machine learning', 'deep learning']",3,S3
43,Data Scientist,Medium,Retail,India,Hybrid,Entry,4,Bachelor,1,0,1,1,0,76365,High,1,5,Teknisi/Analis Muda,"['python', 'machine learning', 'deep learning']",3,S1
44,Data Scientist,Startup,Technology,Germany,Hybrid,Senior,12,PhD,1,1,0,0,1,109268,Medium,3,7,Ahli Pertama / Perdana,"['python', 'sql', 'cloud']",3,S3
45,Data Engineer,Medium,Technology,Germany,Remote,Senior,6,Bachelor,0,0,0,1,1,121214,High,9,7,Ahli Pertama / Perdana,"['deep learning', 'cloud']",2,S1
46,Data Scientist,MNC,Finance,Australia,Remote,Mid,11,Master,0,1,0,0,0,94175,Medium,5,6,Teknisi/Analis Madya,['sql'],1,S2
47,Data Analyst,MNC,E-commerce,Germany,Onsite,Senior,1,Bachelor,0,0,0,1,0,139588,Low,1,7,Ahli Pertama / Perdana,['deep learning'],1,S1
48,Data Analyst,MNC,Finance,UK,Hybrid,Mid,7,Bachelor,1,1,1,1,1,130539,High,2,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning', 'deep learning', 'cloud']",5,S1
49,Data Scientist,MNC,Retail,Australia,Onsite,Entry,0,Bachelor,0,1,0,1,1,93324,Low,3,5,Teknisi/Analis Muda,"['sql', 'deep learning', 'cloud']",3,S1
50,Data Analyst,MNC,E-commerce,Singapore,Remote,Mid,7,Master,1,1,0,0,0,91015,High,7,6,Teknisi/Analis Madya,"['python', 'sql']",2,S2
51,Data Scientist,Medium,Finance,UK,Remote,Mid,8,PhD,1,0,0,0,0,71633,Medium,1,6,Teknisi/Analis Madya,['python'],1,S3
52,Data Scientist,Startup,Education,Germany,Remote,Entry,4,PhD,1,0,0,0,0,49809,Low,5,5,Teknisi/Analis Muda,['python'],1,S3
53,Data Scientist,Startup,Education,USA,Hybrid,Entry,12,PhD,0,1,1,0,0,63419,High,8,5,Teknisi/Analis Muda,"['sql', 'machine learning']",2,S3
54,Machine Learning Engineer,Medium,Healthcare,Australia,Hybrid,Senior,1,PhD,1,0,1,1,0,171544,High,9,7,Ahli Pertama / Perdana,"['python', 'machine learning', 'deep learning']",3,S3
55,Business Analyst,Startup,Education,India,Onsite,Senior,5,PhD,1,1,1,1,1,143017,High,2,7,Ahli Pertama / Perdana,"['python', 'sql', 'machine learning', 'deep learning', 'cloud']",5,S3
56,Machine Learning Engineer,MNC,Finance,Australia,Remote,Senior,6,Master,1,0,0,0,0,155137,Low,4,7,Ahli Pertama / Perdana,['python'],1,S2
57,Machine Learning Engineer,Startup,Technology,Germany,Remote,Mid,4,Master,1,0,1,0,0,131254,Low,3,6,Teknisi/Analis Madya,"['python', 'machine learning']",2,S2
58,Data Analyst,Medium,Technology,Germany,Remote,Senior,10,PhD,0,1,1,0,1,127570,Medium,3,7,Ahli Pertama / Perdana,"['sql', 'machine learning', 'cloud']",3,S3
59,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,Entry,0,Master,0,0,1,1,1,154945,High,2,5,Teknisi/Analis Muda,"['machine learning', 'deep learning', 'cloud']",3,S2
60,Machine Learning Engineer,Startup,Finance,Australia,Onsite,Mid,14,PhD,1,0,0,1,1,136276,Medium,1,6,Teknisi/Analis Madya,"['python', 'deep learning', 'cloud']",3,S3
61,Data Engineer,Medium,Healthcare,Germany,Onsite,Mid,12,Master,1,1,0,1,0,90122,High,7,6,Teknisi/Analis Madya,"['python', 'sql', 'deep learning']",3,S2
62,Data Analyst,Enterprise,Technology,Canada,Hybrid,Mid,2,Master,0,0,1,0,0,93905,Low,5,6,Teknisi/Analis Madya,['machine learning'],1,S2
63,Data Scientist,Enterprise,Education,India,Hybrid,Entry,12,Bachelor,1,0,1,1,0,84361,High,9,5,Teknisi/Analis Muda,"['python', 'machine learning', 'deep learning']",3,S1
64,Data Engineer,Medium,Finance,Germany,Onsite,Mid,4,Bachelor,1,1,1,1,1,110876,High,8,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning', 'deep learning', 'cloud']",5,S1
65,Data Scientist,Startup,E-commerce,Australia,Remote,Mid,6,Master,1,1,1,0,1,104352,High,8,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning', 'cloud']",4,S2
66,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Mid,3,Master,1,0,1,0,1,97551,Low,6,6,Teknisi/Analis Madya,"['python', 'machine learning', 'cloud']",3,S2
67,Data Engineer,Startup,Healthcare,Singapore,Onsite,Mid,12,PhD,1,0,1,1,1,118915,High,4,6,Teknisi/Analis Madya,"['python', 'machine learning', 'deep learning', 'cloud']",4,S3
68,Data Scientist,MNC,Finance,India,Hybrid,Mid,13,Bachelor,0,0,1,0,0,108744,Medium,3,6,Teknisi/Analis Madya,['machine learning'],1,S1
69,Machine Learning Engineer,Startup,Healthcare,Germany,Hybrid,Entry,3,Master,0,0,0,0,0,86994,High,9,5,Teknisi/Analis Muda,[],0,S2
70,Data Analyst,Medium,Finance,Canada,Hybrid,Mid,4,Master,1,0,0,1,1,104762,Low,3,6,Teknisi/Analis Madya,"['python', 'deep learning', 'cloud']",3,S2
71,AI Engineer,MNC,E-commerce,UK,Remote,Entry,11,Master,1,0,0,0,0,112546,Medium,3,5,Teknisi/Analis Muda,['python'],1,S2
72,AI Engineer,Startup,E-commerce,India,Remote,Mid,7,PhD,1,1,0,0,1,125142,Low,1,6,Teknisi/Analis Madya,"['python', 'sql', 'cloud']",3,S3
73,Data Scientist,Startup,Healthcare,Australia,Remote,Senior,2,PhD,1,1,0,0,0,100567,High,8,7,Ahli Pertama / Perdana,"['python', 'sql']",2,S3
74,Business Analyst,Startup,Technology,Australia,Onsite,Senior,5,Bachelor,0,0,0,0,0,97336,High,7,7,Ahli Pertama / Perdana,[],0,S1
75,Machine Learning Engineer,Medium,E-commerce,UK,Hybrid,Entry,5,Master,0,0,0,1,0,107863,High,8,5,Teknisi/Analis Muda,['deep learning'],1,S2
76,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,14,PhD,0,0,1,1,1,115779,High,5,6,Teknisi/Analis Madya,"['machine learning', 'deep learning', 'cloud']",3,S3
77,Machine Learning Engineer,MNC,Education,Australia,Onsite,Senior,13,Master,0,1,1,0,1,180984,Medium,2,7,Ahli Pertama / Perdana,"['sql', 'machine learning', 'cloud']",3,S2
78,AI Engineer,Enterprise,Technology,Germany,Remote,Entry,9,PhD,0,1,0,1,0,104146,Medium,6,5,Teknisi/Analis Muda,"['sql', 'deep learning']",2,S3
79,Data Engineer,Enterprise,Finance,Australia,Remote,Entry,13,Master,1,1,0,0,0,49662,Medium,6,5,Teknisi/Analis Muda,"['python', 'sql']",2,S2
80,Business Analyst,Enterprise,Finance,Canada,Remote,Mid,4,Bachelor,1,0,0,0,1,81625,High,9,6,Teknisi/Analis Madya,"['python', 'cloud']",2,S1
81,Machine Learning Engineer,Enterprise,Healthcare,UK,Hybrid,Senior,10,Bachelor,0,1,0,0,1,146990,High,8,7,Ahli Pertama / Perdana,"['sql', 'cloud']",2,S1
82,Business Analyst,MNC,Finance,USA,Remote,Senior,5,PhD,1,1,1,0,0,134944,High,7,7,Ahli Pertama / Perdana,"['python', 'sql', 'machine learning']",3,S3
83,Data Scientist,MNC,Education,Australia,Onsite,Entry,6,Bachelor,0,1,0,1,0,88058,Low,3,5,Teknisi/Analis Muda,"['sql', 'deep learning']",2,S1
84,Data Engineer,MNC,Education,Canada,Remote,Entry,13,Bachelor,1,1,0,1,0,86645,Medium,3,5,Teknisi/Analis Muda,"['python', 'sql', 'deep learning']",3,S1
85,Machine Learning Engineer,Medium,Education,UK,Onsite,Entry,6,Bachelor,0,0,1,1,1,131305,High,3,5,Teknisi/Analis Muda,"['machine learning', 'deep learning', 'cloud']",3,S1
86,AI Engineer,MNC,Healthcare,Singapore,Remote,Entry,6,Bachelor,0,1,0,0,0,112221,High,8,5,Teknisi/Analis Muda,['sql'],1,S1
87,Business Analyst,Enterprise,Retail,USA,Onsite,Mid,7,PhD,1,1,1,1,0,105619,High,4,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning', 'deep learning']",4,S3
88,Business Analyst,Medium,Healthcare,Singapore,Hybrid,Senior,6,Bachelor,0,0,1,0,0,111308,Low,4,7,Ahli Pertama / Perdana,['machine learning'],1,S1
89,Machine Learning Engineer,Startup,E-commerce,Germany,Onsite,Mid,1,PhD,0,0,0,1,1,135804,Low,5,6,Teknisi/Analis Madya,"['deep learning', 'cloud']",2,S3
90,Data Scientist,Medium,E-commerce,Germany,Onsite,Mid,11,Master,1,0,1,1,1,114223,High,7,6,Teknisi/Analis Madya,"['python', 'machine learning', 'deep learning', 'cloud']",4,S2
91,Data Analyst,Startup,Education,USA,Hybrid,Entry,6,Bachelor,0,1,1,0,1,76809,Low,4,5,Teknisi/Analis Muda,"['sql', 'machine learning', 'cloud']",3,S1
92,Business Analyst,Medium,E-commerce,UK,Hybrid,Mid,9,Bachelor,1,0,1,1,0,107141,High,5,6,Teknisi/Analis Madya,"['python', 'machine learning', 'deep learning']",3,S1
93,Business Analyst,Medium,Education,Canada,Onsite,Entry,5,PhD,0,1,1,1,0,83646,High,9,5,Teknisi/Analis Muda,"['sql', 'machine learning', 'deep learning']",3,S3
94,Data Scientist,Medium,E-commerce,Germany,Hybrid,Mid,1,Master,1,1,0,0,0,75490,Low,5,6,Teknisi/Analis Madya,"['python', 'sql']",2,S2
95,Business Analyst,Enterprise,Retail,Germany,Remote,Senior,7,PhD,0,1,1,0,0,114853,High,8,7,Ahli Pertama / Perdana,"['sql', 'machine learning']",2,S3
96,Data Scientist,Medium,Technology,Singapore,Onsite,Senior,0,PhD,1,0,0,0,1,105153,High,9,7,Ahli Pertama / Perdana,"['python', 'cloud']",2,S3
97,Data Scientist,Startup,Finance,USA,Remote,Entry,7,PhD,1,0,0,0,0,46252,Low,2,5,Teknisi/Analis Muda,['python'],1,S3
98,Data Analyst,Medium,Education,India,Onsite,Entry,10,PhD,0,0,0,1,0,67982,High,7,5,Teknisi/Analis Muda,['deep learning'],1,S3
99,Data Analyst,MNC,E-commerce,USA,Onsite,Entry,5,Master,1,0,1,0,1,98044,High,9,5,Teknisi/Analis Muda,"['python', 'machine learning', 'cloud']",3,S2
100,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Entry,9,Master,0,1,0,0,0,113007,High,9,5,Teknisi/Analis Muda,['sql'],1,S2
101,Business Analyst,Medium,Education,Germany,Onsite,Senior,10,Master,1,0,0,1,0,117138,High,8,7,Ahli Pertama / Perdana,"['python', 'deep learning']",2,S2
102,Business Analyst,Medium,Retail,Canada,Onsite,Mid,6,PhD,1,0,0,1,0,90468,Low,4,6,Teknisi/Analis Madya,"['python', 'deep learning']",2,S3
103,Business Analyst,Medium,Finance,Canada,Hybrid,Mid,6,Master,0,1,1,1,0,109996,High,7,6,Teknisi/Analis Madya,"['sql', 'machine learning', 'deep learning']",3,S2
104,Data Analyst,Enterprise,Education,Germany,Remote,Mid,12,Bachelor,1,0,1,0,1,96771,High,8,6,Teknisi/Analis Madya,"['python', 'machine learning', 'cloud']",3,S1
105,Data Engineer,Startup,Technology,Canada,Remote,Mid,2,Bachelor,0,1,1,1,1,110145,High,4,6,Teknisi/Analis Madya,"['sql', 'machine learning', 'deep learning', 'cloud']",4,S1
106,Data Scientist,Startup,Education,Singapore,Remote,Senior,8,Bachelor,1,1,1,0,1,129130,Medium,5,7,Ahli Pertama / Perdana,"['python', 'sql', 'machine learning', 'cloud']",4,S1
107,Data Engineer,MNC,Retail,Australia,Remote,Mid,6,Bachelor,1,1,0,1,1,124076,Low,6,6,Teknisi/Analis Madya,"['python', 'sql', 'deep learning', 'cloud']",4,S1
108,Data Engineer,Medium,Retail,India,Remote,Mid,0,Bachelor,1,0,1,1,0,108245,High,5,6,Teknisi/Analis Madya,"['python', 'machine learning', 'deep learning']",3,S1
109,Data Scientist,Enterprise,Technology,India,Remote,Entry,9,PhD,0,1,1,1,0,83194,High,8,5,Teknisi/Analis Muda,"['sql', 'machine learning', 'deep learning']",3,S3
110,Business Analyst,MNC,E-commerce,Singapore,Remote,Entry,4,Master,1,0,0,1,0,81218,High,9,5,Teknisi/Analis Muda,"['python', 'deep learning']",2,S2
111,AI Engineer,Medium,Finance,Singapore,Remote,Entry,10,PhD,1,1,1,0,1,115370,High,8,5,Teknisi/Analis Muda,"['python', 'sql', 'machine learning', 'cloud']",4,S3
112,Machine Learning Engineer,Medium,E-commerce,Germany,Remote,Entry,0,Bachelor,1,1,0,1,1,112745,Low,3,5,Teknisi/Analis Muda,"['python', 'sql', 'deep learning', 'cloud']",4,S1
113,Data Analyst,Startup,E-commerce,USA,Hybrid,Senior,10,Bachelor,0,1,0,0,0,104908,High,9,7,Ahli Pertama / Perdana,['sql'],1,S1
114,Data Analyst,Medium,Technology,Singapore,Remote,Senior,9,Bachelor,0,0,0,0,1,108741,Medium,5,7,Ahli Pertama / Perdana,['cloud'],1,S1
115,Machine Learning Engineer,MNC,Healthcare,Australia,Remote,Entry,1,PhD,1,0,1,0,0,122064,High,9,5,Teknisi/Analis Muda,"['python', 'machine learning']",2,S3
116,Machine Learning Engineer,MNC,E-commerce,UK,Hybrid,Senior,6,Master,1,0,1,1,0,190084,High,5,7,Ahli Pertama / Perdana,"['python', 'machine learning', 'deep learning']",3,S2
117,AI Engineer,MNC,Technology,India,Onsite,Entry,0,Master,1,1,0,1,1,136353,High,8,5,Teknisi/Analis Muda,"['python', 'sql', 'deep learning', 'cloud']",4,S2
118,Business Analyst,MNC,Technology,UK,Onsite,Entry,12,PhD,0,0,1,0,0,89645,Medium,3,5,Teknisi/Analis Muda,['machine learning'],1,S3
119,AI Engineer,Startup,Retail,Canada,Remote,Senior,6,PhD,0,0,0,1,1,163155,Low,2,7,Ahli Pertama / Perdana,"['deep learning', 'cloud']",2,S3
120,Data Analyst,Enterprise,Finance,Australia,Remote,Entry,4,PhD,0,1,1,0,0,65626,Low,5,5,Teknisi/Analis Muda,"['sql', 'machine learning']",2,S3
121,AI Engineer,Medium,Healthcare,Canada,Onsite,Entry,7,Bachelor,1,1,0,1,1,115179,High,8,5,Teknisi/Analis Muda,"['python', 'sql', 'deep learning', 'cloud']",4,S1
122,Business Analyst,Startup,Retail,Australia,Hybrid,Senior,12,PhD,1,1,0,1,1,127725,Medium,3,7,Ahli Pertama / Perdana,"['python', 'sql', 'deep learning', 'cloud']",4,S3
123,Data Engineer,Enterprise,Finance,Australia,Remote,Mid,11,Bachelor,0,1,1,0,0,90463,Medium,2,6,Teknisi/Analis Madya,"['sql', 'machine learning']",2,S1
124,Business Analyst,Startup,E-commerce,India,Hybrid,Mid,14,Master,0,1,1,0,0,87043,High,9,6,Teknisi/Analis Madya,"['sql', 'machine learning']",2,S2
125,Data Analyst,Medium,Retail,USA,Remote,Entry,14,Master,1,1,1,1,1,93905,High,1,5,Teknisi/Analis Muda,"['python', 'sql', 'machine learning', 'deep learning', 'cloud']",5,S2
126,AI Engineer,Startup,Healthcare,USA,Remote,Entry,13,Bachelor,0,0,1,1,1,132014,High,7,5,Teknisi/Analis Muda,"['machine learning', 'deep learning', 'cloud']",3,S1
127,Machine Learning Engineer,Medium,Healthcare,India,Onsite,Entry,12,PhD,0,0,1,0,1,119631,High,9,5,Teknisi/Analis Muda,"['machine learning', 'cloud']",2,S3
128,AI Engineer,MNC,Healthcare,Germany,Hybrid,Mid,10,PhD,0,0,0,1,1,155021,Medium,4,6,Teknisi/Analis Madya,"['deep learning', 'cloud']",2,S3
129,Data Analyst,Enterprise,Finance,Germany,Hybrid,Mid,1,PhD,1,1,0,1,0,86266,High,9,6,Teknisi/Analis Madya,"['python', 'sql', 'deep learning']",3,S3
130,Data Engineer,MNC,E-commerce,Canada,Onsite,Entry,2,PhD,1,1,1,1,0,99644,High,6,5,Teknisi/Analis Muda,"['python', 'sql', 'machine learning', 'deep learning']",4,S3
131,Data Analyst,Enterprise,Technology,India,Onsite,Senior,12,Bachelor,1,0,0,0,0,102005,Medium,1,7,Ahli Pertama / Perdana,['python'],1,S1
132,Machine Learning Engineer,Startup,Technology,Canada,Hybrid,Mid,2,Bachelor,1,0,1,1,0,145631,High,2,6,Teknisi/Analis Madya,"['python', 'machine learning', 'deep learning']",3,S1
133,Machine Learning Engineer,MNC,Education,Singapore,Hybrid,Senior,9,PhD,1,0,1,0,0,172958,Medium,2,7,Ahli Pertama / Perdana,"['python', 'machine learning']",2,S3
134,Machine Learning Engineer,MNC,Technology,Australia,Onsite,Mid,13,Master,1,0,0,0,1,142365,High,9,6,Teknisi/Analis Madya,"['python', 'cloud']",2,S2
135,Business Analyst,Enterprise,Education,Singapore,Remote,Mid,5,PhD,0,0,0,0,1,89444,Low,2,6,Teknisi/Analis Madya,['cloud'],1,S3
136,Data Scientist,MNC,Technology,Germany,Remote,Senior,14,PhD,0,1,0,1,1,149472,High,9,7,Ahli Pertama / Perdana,"['sql', 'deep learning', 'cloud']",3,S3
137,Data Analyst,MNC,Finance,USA,Hybrid,Entry,4,PhD,0,0,1,0,0,89847,Low,1,5,Teknisi/Analis Muda,['machine learning'],1,S3
138,Data Engineer,MNC,Retail,Canada,Hybrid,Mid,8,Master,0,0,1,1,0,126262,High,1,6,Teknisi/Analis Madya,"['machine learning', 'deep learning']",2,S2
139,Business Analyst,Startup,Retail,Canada,Remote,Entry,13,PhD,1,1,1,0,1,75370,High,8,5,Teknisi/Analis Muda,"['python', 'sql', 'machine learning', 'cloud']",4,S3
140,Machine Learning Engineer,Startup,Healthcare,Canada,Remote,Senior,7,PhD,0,0,1,0,1,166294,Low,6,7,Ahli Pertama / Perdana,"['machine learning', 'cloud']",2,S3
141,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,Senior,5,Bachelor,0,0,1,0,1,185238,Low,1,7,Ahli Pertama / Perdana,"['machine learning', 'cloud']",2,S1
142,Machine Learning Engineer,Medium,Healthcare,India,Remote,Mid,7,PhD,0,1,0,1,0,128072,Low,4,6,Teknisi/Analis Madya,"['sql', 'deep learning']",2,S3
143,Data Engineer,Startup,E-commerce,USA,Hybrid,Mid,1,Master,1,1,0,0,0,75208,High,9,6,Teknisi/Analis Madya,"['python', 'sql']",2,S2
144,Business Analyst,Enterprise,Finance,UK,Hybrid,Entry,13,Master,1,1,0,1,1,71000,Medium,2,5,Teknisi/Analis Muda,"['python', 'sql', 'deep learning', 'cloud']",4,S2
145,Business Analyst,Enterprise,Finance,Australia,Hybrid,Senior,4,Bachelor,0,0,1,1,0,127875,High,5,7,Ahli Pertama / Perdana,"['machine learning', 'deep learning']",2,S1
146,Data Scientist,MNC,Finance,UK,Hybrid,Mid,2,PhD,1,1,1,1,1,139218,High,9,6,Teknisi/Analis Madya,"['python', 'sql', 'machine learning', 'deep learning', 'cloud']",5,S3
147,Machine Learning Engineer,Medium,Technology,Canada,Remote,Mid,11,Bachelor,0,1,1,0,0,133234,Medium,4,6,Teknisi/Analis Madya,"['sql', 'machine learning']",2,S1
148,Data Engineer,Medium,Technology,UK,Onsite,Entry,6,Bachelor,0,0,1,0,0,68906,High,9,5,Teknisi/Analis Muda,['machine learning'],1,S1
149,AI Engineer,Startup,E-commerce,Australia,Onsite,Mid,12,Master,1,1,0,1,1,142311,Medium,3,6,Teknisi/Analis Madya,"['python', 'sql', 'deep learning', 'cloud']",4,S2
150,Data Engineer,Medium,Healthcare,USA,Remote,Mid,13,Bachelor,0,0,0,1,1,102052,High,7,6,Teknisi/Analis Madya,"['deep learning', 'cloud']",2,S1
151,Data Scientist,Medium,E-commerce,India,Hybrid,Senior,0,Master,1,1,0,1,0,117285,High,7,7,Ahli Pertama / Perdana,"['python', 'sql', 'deep learning']",3,S2
