career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,skills_parsed,skills_count,related_skills_parsed,matched_score,job_target,min_years_exp_req,match_category,degree_first,major_first,position_last,overlap_with_job_skills,kkni_level_inferred
"Looking for a job opportunity in which I can interact, learn, and contribute solutions to the problems, which enhances company benefits along with my career.","['Python', 'Anaconda', 'NumPy', 'Pandas', 'Matplotlib', 'Scikit Learn', 'TensorFlow', 'Streamlit', 'Arduino', 'Raspberry Pi']",['VIT-AP University'],['B. Tech'],['2021'],['N/A'],['N/A'],['ECE'],['Experts Hub'],['N/A'],['May 2020'],['N/A'],[None],['Intern'],['N/A'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","['python', 'anaconda', 'numpy', 'pandas', 'matplotlib', 'scikit learn', 'tensorflow', 'streamlit', 'arduino', 'raspberry pi']",10,[],0.683333333,Asst. Manager/ Manger (Administrative),5.0,Mid Match,B. Tech,ECE,Intern,1,7.0
To obtain a challenging position in a professional and dynamic environment while utilizing my skills and experience to further my career in accounting.,"['account reconciliation', 'accounting', 'accounts payable', 'accruals', 'accrual', 'balance sheet', 'Balance', 'balance sheets', 'bank reconciliation', 'benefits', 'billing', 'budgeting', 'COBOL', 'Computer Programming', 'corporate accounting', 'credit', 'dialysis', 'documentation', 'senior management', 'expense reports', 'finance', 'financial', 'financial reports', 'financial statements', 'fixed assets', 'general ledger', 'insurance', 'letters', 'Access', 'Excel', 'money', 'PowerPoint', 'Word', 'month-end closing', 'month end close', 'primary care', 'processes', 'profit and loss', 'real estate', 'reporting', 'sales', 'SAP', 'settlements', 'tax', 'taxes', 'treasury', 'year-end']","['Gujarat University', 'Triton College in River Grove, IL']","['Master degree', 'N/A']","['N/A', '1']","['N/A', 'N/A']","['N/A', 'N/A']","['Accounting', 'Computer Programming in COBOL language']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None]","['March 2001', 'April 1999', 'June 1996', 'July 1992', 'September 1991', 'September 1988', 'June 1984']","['Current', 'March 2001', 'April 1999', 'June 1996', 'July 1992', 'October 1990', 'September 1988']","[['account reconciliation', 'accounting', 'accounts payable', 'balance sheet', 'senior management', 'financial', 'financial reports', 'financial statements', 'SAP', 'treasury'], ['budgeting', 'bank reconciliation', 'financial', 'financial reports', 'financial statements', 'tax'], ['accounting', 'bank reconciliation', 'financial statements', 'general ledger', 'real estate', 'tax'], ['insurance', 'documentation', 'primary care'], ['credit', 'balances'], ['billing', 'credit'], ['account reconciliation', 'accounts payable', 'adjustments', 'balances']]","['Accountant', 'Accountant', 'Staff Accountant/ Lease Administrator', 'Assistant Claim Approver', 'Proof Operator', 'Billing Associate', 'Account Receivable Clerk']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","['account reconciliation', 'accounting', 'accounts payable', 'accruals', 'accrual', 'balance sheet', 'balance', 'balance sheets', 'bank reconciliation', 'benefits', 'billing', 'budgeting', 'cobol', 'computer programming', 'corporate accounting', 'credit', 'dialysis', 'documentation', 'senior management', 'expense reports', 'finance', 'financial', 'financial reports', 'financial statements', 'fixed assets', 'general ledger', 'insurance', 'letters', 'access', 'excel', 'money', 'powerpoint', 'word', 'month-end closing', 'month end close', 'primary care', 'processes', 'profit and loss', 'real estate', 'reporting', 'sales', 'sap', 'settlements', 'tax', 'taxes', 'treasury', 'year-end']",47,"['billing', 'sap', 'balance sheet', 'balances', 'insurance', 'real estate', 'credit', 'account reconciliation', 'bank reconciliation', 'accounting', 'primary care', 'treasury', 'senior management', 'financial reports', 'documentation', 'general ledger', 'budgeting', 'financial', 'adjustments', 'accounts payable', 'financial statements', 'tax']",0.7833333333333333,Project Coordinator (Civil),5.0,High Match,Master degree,Accounting,Accountant,0,7.0
,"['Machine learning', 'Deep learning', 'Python', 'NLP', 'Computer vision', 'Image processing', 'SQL', 'Data analysis', 'Big Data', 'Spark', 'Apache hive', 'Apache pig', 'Tensorflow', 'Sklearn', 'Data visualization', 'Data science']","['Darjeeling Engineering College', 'Calcutta University']","['B.Tech', 'M.Tech']","['2018', '2020']","['N/A', 'N/A']","['N/A', 'N/A']","[None, 'Big data analytics']",['JumpStart'],[None],['Apr 2020'],['July 2020'],"[['Machine learning', 'Deep learning']]",['Intern Trainee'],['N/A'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration","['machine learning', 'deep learning', 'python', 'nlp', 'computer vision', 'image processing', 'sql', 'data analysis', 'big data', 'spark', 'apache hive', 'apache pig', 'tensorflow', 'sklearn', 'data visualization', 'data science']",16,"['deep learning', 'machine learning']",0.716666667,Intern (Generative AI Engineering - 2D/3D Image Generation),,Mid Match,B.Tech,,Intern Trainee,4,
,"['accounting', 'Accountant', 'Arabic', 'Balance Sheet', 'bank reconciliations', 'com', 'resolve customer complaints', 'Customer Service', 'databases', 'delivery', 'E-mail', 'English', 'expense reports', 'Financial', 'Financial and accounting', 'financial statements', 'forms', 'general ledger', 'Lecturer', 'excel', 'office', 'Microsoft word', 'Page', 'pricing', 'QuickBooks', 'telephone', 'phone', 'workflow', 'written']",['Alexandria University'],['Trained as Accountant'],['2010'],[None],[None],['Account solution'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['06/2014', '03/2013', '10/2011', '08/2010']","['10/2016', '05/2014', '02/2013', '09/2011']","[['Customer Service', 'Account Management', 'Database Management'], ['Customer Service', 'Account Management', 'Workflow Organization'], ['Financial Reporting', 'General Ledger Operations', 'Bank Reconciliations'], ['Financial Reporting', 'General Ledger Operations', 'Bank Reconciliations']]","['N/A', 'N/A', 'General Accountant', 'General Accountant']","['Green Towers Egypt, Alexandria', 'N/A', 'City', 'N/A']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks","['accounting', 'accountant', 'arabic', 'balance sheet', 'bank reconciliations', 'com', 'resolve customer complaints', 'customer service', 'databases', 'delivery', 'e-mail', 'english', 'expense reports', 'financial', 'financial and accounting', 'financial statements', 'forms', 'general ledger', 'lecturer', 'excel', 'office', 'microsoft word', 'page', 'pricing', 'quickbooks', 'telephone', 'phone', 'workflow', 'written']",29,"['financial reporting', 'customer service', 'account management', 'general ledger operations', 'bank reconciliations', 'workflow organization', 'database management']",0.75,Executive - VAT,1.0,High Match,Trained as Accountant,Account solution,N/A,0,5.0
Data Scientist working on problems related to market research and customer analysis. I want to expand my arsenal of application building and work on different kinds of problems. Looking for a role where I can work with a coordinative team and exchange knowledge during the process.,"['Java', 'C++', 'Python', 'Machine Learning', 'Algorithms', 'Natural Language Processing', 'Deep Learning', 'Computer Vision', 'Pattern Recognition', 'Data Science', 'Data Analysis', 'Software Engineer', 'Data Analyst', 'C', 'PySpark', 'Kubeflow']","['SGBAU University', 'Indian Institute of Technology (IIT), Kanpur']","['B.Tech', 'M.Tech']","['2017', '2019']","[None, None]","[None, None]","['Computer Science', 'Computer Science Engineering']",['One97 Communications Limited'],[None],['Jan 2019'],['Till Date'],"[['YOLO', 'CNN', 'Object-detection', 'OCR']]",['Data Scientist'],[None],"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","['java', 'c++', 'python', 'machine learning', 'algorithms', 'natural language processing', 'deep learning', 'computer vision', 'pattern recognition', 'data science', 'data analysis', 'software engineer', 'data analyst', 'c', 'pyspark', 'kubeflow']",16,"['yolo', 'object-detection', 'ocr', 'cnn']",0.346666667,Civil Engineer,5.0,Low Match,B.Tech,Computer Science,Data Scientist,3,7.0
,"['FAS Asset Accounting', 'Quickbooks', 'Anytime Scheduler', 'KRONOS', 'Munis', 'MAS90', 'Excel', 'Word', 'Outlook', 'Internet Explorer', 'FRX', 'Netscape Messenger', 'JD Edwards', 'Accounting', 'Accounts payable', 'Accounts Receivable', 'accruals', 'acquisitions', 'billing', 'closing', 'Consulting', 'contracts', 'Controller', 'credit', 'Customer Support', 'financials', 'financial statements', 'fixed assets', 'general ledger', 'Human Resource', 'insurance', 'Internet Explorer', 'JD Edwards', 'Job costing', 'KRONOS', 'Lotus', 'marketing', 'MAS90', 'Excel', 'Outlook Express', 'Windows', 'Word', 'Netscape', 'Payroll', 'personnel', 'Quickbooks']","['Keller Graduate School of Management', 'DeVry University', 'Army National Guard']","['Master', 'Bachelor of Science', None]","['2014', '1993', None]","[None, None, None]","[None, None, None]","['Accounting & Financial Management', 'Accounting', 'Computer programming']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['07/2006', '04/2002', '07/2001', '01/2000', '01/1999', '02/1993']","[None, '06/2006', '03/2002', '06/2001', '12/1999', '12/1998']","[['organizational skills', 'policy matters', 'payroll process', 'banking information', 'salary changes'], ['transaction verification', 'coding', 'billing', 'administrative', 'collections'], ['financial statements', 'asset reconciliation', 'depreciation'], ['billing', 'reporting'], ['payment processing', 'reconciliation'], ['auditing', 'contract processing', 'vendor invoice auditing']]","['Payroll Accountant', 'Accountant', 'Staff Accountant', 'Staff Accountant', 'Accounts Receivable Administrator', 'Contracts Processor']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","['fas asset accounting', 'quickbooks', 'anytime scheduler', 'kronos', 'munis', 'mas90', 'excel', 'word', 'outlook', 'internet explorer', 'frx', 'netscape messenger', 'jd edwards', 'accounting', 'accounts payable', 'accounts receivable', 'accruals', 'acquisitions', 'billing', 'closing', 'consulting', 'contracts', 'controller', 'credit', 'customer support', 'financials', 'financial statements', 'fixed assets', 'general ledger', 'human resource', 'insurance', 'internet explorer', 'jd edwards', 'job costing', 'kronos', 'lotus', 'marketing', 'mas90', 'excel', 'outlook express', 'windows', 'word', 'netscape', 'payroll', 'personnel', 'quickbooks']",46,"['coding', 'reporting', 'collections', 'billing', 'depreciation', 'salary changes', 'reconciliation', 'asset reconciliation', 'banking information', 'auditing', 'vendor invoice auditing', 'organizational skills', 'administrative', 'transaction verification', 'policy matters', 'financial statements', 'payroll process', 'payment processing', 'contract processing']",0.7933333333333333,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",4.0,High Match,Master,Accounting & Financial Management,Payroll Accountant,0,6.0
I am a software developer and analyst professional working for a year with client side technology and Machine Learning product delivery. I have handled small but scalable Machine Learning projects and want to expand my experience and expertise in the domain.,"['Tensorflow', 'AWS', 'Keras', 'Deep Learning', 'Pytorch', 'Flask', 'Machine Learning', 'PySpark', 'Kafka', 'XML', 'API', 'JavaScript', 'AngularJS', 'SAP', 'RestAPI', 'PHP']","['PES University, Bangalore']",['B.Tech(IT)'],['2019'],['N/A'],['N/A'],['Information Technology'],['AT&C Solutions'],['N/A'],['Mar 2019'],['Ongoing'],"[['MaskRCNN', 'Image Recognition', 'ML']]",['Software Developer ML'],['N/A'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","['tensorflow', 'aws', 'keras', 'deep learning', 'pytorch', 'flask', 'machine learning', 'pyspark', 'kafka', 'xml', 'api', 'javascript', 'angularjs', 'sap', 'restapi', 'php']",16,"['ml', 'maskrcnn', 'image recognition']",0.85,AI Engineer,,High Match,B.Tech(IT),Information Technology,Software Developer ML,2,
Fresher python developer interested in data analytics and machine learning.,"['Machine Learning', 'Data processing', 'Data visualization', 'Deep Learning', 'SQL', 'Python Programming', 'PyCharm', 'Django']",['Heramba Chandra College'],['B.Tech'],['2020'],['N/A'],['N/A'],['CSE'],['DKB Innovations'],['N/A'],['Jun 2019'],['Jan 2020'],[['Python Programming']],['Python Intern'],['N/A'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","['machine learning', 'data processing', 'data visualization', 'deep learning', 'sql', 'python programming', 'pycharm', 'django']",8,['python programming'],0.35,Business Development Executive,1.0,Low Match,B.Tech,CSE,Python Intern,4,5.0
Fresher early in system engineer role looking to change tracks into data analytics and application.,"['Software Development', 'Application Programming', 'Agile Methodology', 'System Analysis', 'Technical Architecture', 'Project Management', 'Requirement Gathering', 'Client Management', 'Machine Learning', 'Java']",['Hoogly Engineering College'],['B.Tech'],['2020'],['N/A'],[None],['Instrumentation'],['Indosis Care'],[None],['Jul 2020'],['Ongoing'],"[['Kubernetes', 'AWS']]",['Junior System Engineer Analyst'],['N/A'],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution","['software development', 'application programming', 'agile methodology', 'system analysis', 'technical architecture', 'project management', 'requirement gathering', 'client management', 'machine learning', 'java']",10,"['aws', 'kubernetes']",0.45,HR Officer,,Low Match,B.Tech,Instrumentation,Junior System Engineer Analyst,1,
,"['Data Analytics', 'Linear Regression', 'Logistic Regression', 'Business Intelligence', 'Business Analysis', 'GraphQL', 'Python']",['Raja Kashwant Singh General College'],['B.A'],['2020'],['N/A'],['N/A'],['Economics'],"['D&D Consultancy', 'Tanisha Quromba Brokerage']","['N/A', 'N/A']","['Jul 2020', 'Dec 2019']","['till date', 'May 2020']","[None, None]","['Associate Consultant', 'Junior Analyst Intern']","['N/A', 'N/A']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['data analytics', 'linear regression', 'logistic regression', 'business intelligence', 'business analysis', 'graphql', 'python']",7,[],0.35,Mechanical Engineer,2.0,Low Match,B.A,Economics,Associate Consultant,1,6.0
,"['basic', 'C++', 'CPR certified', 'Data Acquisition', 'designing', 'Digital Design', 'direction', 'documentation', 'Electronics I', 'engineer', 'fashion', 'First Aid', 'HTML programming', 'Intel', 'LabView', 'market', 'materials', 'MatLab', 'Excel', 'MS Office', 'PowerPoint', 'Windows 2000', 'Word', 'Multimeters', 'natural', 'Oscilloscopes', 'Physics', 'Physics I', 'PSpice', 'speaking', 'quality', 'safety', 'Supervisory Control and Data Acquisition', 'schematics', 'SQL', 'Statistics', 'Systems Design I', 'Technical Writing', 'Verilog', 'VHDL', 'VI', 'Web Design']","['Portland State University', 'Southern Oregon University']","['B.S', 'B.S']","['June 2009', 'June 2000']","['N/A', 'N/A']","['N/A', 'N/A']","['Electrical Engineering', 'Biology Chemistry']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['09/2008', '08/2000', '09/2007', '05/2000', '09/1999', '05/1999']","['Current', '09/2008', '06/2008', '09/2000', '03/2000', '10/1999']","[['SQL', 'speaking', 'documentation'], ['maintenance'], ['data acquisition', 'schematics'], ['team-designing', 'testing', 'documentation'], ['planning', 'organizing'], ['preparing', 'analyzing', 'logging']]","['Engineering Tech', 'Manufacturing Technician', 'Senior Capstone Project', 'Research and Development Associate', 'Head Freshmen Basketball Coach', 'Research Assistant']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","['basic', 'c++', 'cpr certified', 'data acquisition', 'designing', 'digital design', 'direction', 'documentation', 'electronics i', 'engineer', 'fashion', 'first aid', 'html programming', 'intel', 'labview', 'market', 'materials', 'matlab', 'excel', 'ms office', 'powerpoint', 'windows 2000', 'word', 'multimeters', 'natural', 'oscilloscopes', 'physics', 'physics i', 'pspice', 'speaking', 'quality', 'safety', 'supervisory control and data acquisition', 'schematics', 'sql', 'statistics', 'systems design i', 'technical writing', 'verilog', 'vhdl', 'vi', 'web design']",42,"['preparing', 'analyzing', 'schematics', 'team-designing', 'logging', 'sql', 'testing', 'organizing', 'speaking', 'planning', 'documentation', 'data acquisition', 'maintenance']",0.773333333,Asst. Manager/ Manger (Administrative),5.0,High Match,B.S,Electrical Engineering,Engineering Tech,1,7.0
,"['Microsoft Windows 10', 'Memtest86', 'TeamViewer', 'McAfee Endpoint Security', 'Acronis True Image', 'Recuva', 'Wireshark', 'HWiNFO', 'VMware Workstation', 'PowerShell']",['University of Washington'],['Bachelor of Science'],['2015'],['N/A'],['N/A'],['Computer Science'],"['Expedia Group', 'Nordstrom', 'Tableau Software']","['N/A', 'N/A', 'N/A']","['2021', '2018', '2015']","['current', '2021', '2018']","[['Hardware troubleshooting', 'Software troubleshooting', 'McAfee Endpoint Security', 'Acronis True Image'], ['Technical support', 'Microsoft Windows 10', 'IT infrastructure management', 'Memtest86'], ['Software troubleshooting', 'Wireshark', 'Network analysis', 'Customer support']]","['Computer Technician', 'IT Support Specialist', 'Help Desk Technician']","['Seattle, WA', 'Seattle, WA', 'Seattle, WA']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","['microsoft windows 10', 'memtest86', 'teamviewer', 'mcafee endpoint security', 'acronis true image', 'recuva', 'wireshark', 'hwinfo', 'vmware workstation', 'powershell']",10,"['wireshark', 'acronis true image', 'it infrastructure management', 'microsoft windows 10', 'network analysis', 'hardware troubleshooting', 'memtest86', 'mcafee endpoint security', 'technical support', 'customer support', 'software troubleshooting']",0.416666667,Business Development Executive,1.0,Low Match,Bachelor of Science,Computer Science,Computer Technician,0,5.0
Graduating Ph.D. candidate with a research focus on developing large-scale computational models using statistics and machine learning approach. Interested in a career as a computational scientist or quantitative software developer.,"['Air Force', 'ANSYS', 'approach', 'C', 'CAD', 'decision-making', 'designing', 'experimentation', 'Experiments', 'features', 'FORTRAN', 'instructor', 'lesson planning', 'machining', 'marketing', 'Materials', 'MATLAB', 'Mechanical Design', 'Microsoft Office', 'Modeling', 'NASTRAN', 'enterprise', 'OS', 'optimization', 'PATRAN', 'camera', 'physics', 'predict', 'Process Control', 'Research', 'research and design', 'robotic', 'Solidworks', 'Statistical Process Control', 'teaching']","['Arizona State University', 'Arizona State University']","['Doctor of Philosophy', 'Master of Science']","['Dec 2016', 'December 2013']","['3.9/4.0', '4.0/4.0']","['GPA', 'GPA']","['Mechanical Engineering', 'Mechanical Engineering']","['Company Name', 'Company Name', 'N/A']","[None, None, None]","['01/2013', '07/2011', '01/2011']","['Current', '08/2011', '01/2013']","[None, None, None]","['N/A', 'Thermal Engineering Intern', 'Researcher']","['City, State', 'City', 'City, State']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","['air force', 'ansys', 'approach', 'c', 'cad', 'decision-making', 'designing', 'experimentation', 'experiments', 'features', 'fortran', 'instructor', 'lesson planning', 'machining', 'marketing', 'materials', 'matlab', 'mechanical design', 'microsoft office', 'modeling', 'nastran', 'enterprise', 'os', 'optimization', 'patran', 'camera', 'physics', 'predict', 'process control', 'research', 'research and design', 'robotic', 'solidworks', 'statistical process control', 'teaching']",35,[],0.61,"Manager- Human Resource Management (HRM)
",5.0,Mid Match,Doctor of Philosophy,Mechanical Engineering,N/A,0,7.0
"Young Aspirant looking for roles in data science, analytics and Machine Learning.","['Machine Learning', 'Logistic Regression', 'Business Analysis', 'Python', 'SQL', 'Pandas', 'Numpy']","['SPSC COLLEGE, GURGAON']",['B.TECH'],['2019'],['N/A'],['N/A'],['MECHANICAL'],['VW TECHNOLOGY'],['N/A'],['JAN 2018'],['NOV 2020'],[['Machine Learning']],['DESIGN ENGINEER'],['N/A'],"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","['machine learning', 'logistic regression', 'business analysis', 'python', 'sql', 'pandas', 'numpy']",7,['machine learning'],0.55,Mechanical Designer,5.0,Mid Match,B.TECH,MECHANICAL,DESIGN ENGINEER,3,7.0
,"['FAS Asset Accounting', 'Quickbooks', 'Anytime Scheduler', 'KRONOS', 'Munis', 'MAS90', 'Excel', 'Word', 'Outlook', 'Internet Explorer', 'FRX', 'Netscape Messenger', 'JD Edwards', 'Accounting', 'Accounts payable', 'Accounts Receivable', 'accruals', 'acquisitions', 'billing', 'closing', 'Consulting', 'contracts', 'Controller', 'credit', 'Customer Support', 'financials', 'financial statements', 'fixed assets', 'general ledger', 'Human Resource', 'insurance', 'Internet Explorer', 'JD Edwards', 'Job costing', 'KRONOS', 'Lotus', 'marketing', 'MAS90', 'Excel', 'Outlook Express', 'Windows', 'Word', 'Netscape', 'Payroll', 'personnel', 'Quickbooks']","['Keller Graduate School of Management', 'DeVry University', 'Army National Guard']","['Master', 'Bachelor of Science', None]","['2014', '1993', None]","[None, None, None]","[None, None, None]","['Accounting & Financial Management', 'Accounting', 'Computer programming']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['07/2006', '04/2002', '07/2001', '01/2000', '01/1999', '02/1993']","[None, '06/2006', '03/2002', '06/2001', '12/1999', '12/1998']","[['organizational skills', 'policy matters', 'payroll process', 'banking information', 'salary changes'], ['transaction verification', 'coding', 'billing', 'administrative', 'collections'], ['financial statements', 'asset reconciliation', 'depreciation'], ['billing', 'reporting'], ['payment processing', 'reconciliation'], ['auditing', 'contract processing', 'vendor invoice auditing']]","['Payroll Accountant', 'Accountant', 'Staff Accountant', 'Staff Accountant', 'Accounts Receivable Administrator', 'Contracts Processor']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['fas asset accounting', 'quickbooks', 'anytime scheduler', 'kronos', 'munis', 'mas90', 'excel', 'word', 'outlook', 'internet explorer', 'frx', 'netscape messenger', 'jd edwards', 'accounting', 'accounts payable', 'accounts receivable', 'accruals', 'acquisitions', 'billing', 'closing', 'consulting', 'contracts', 'controller', 'credit', 'customer support', 'financials', 'financial statements', 'fixed assets', 'general ledger', 'human resource', 'insurance', 'internet explorer', 'jd edwards', 'job costing', 'kronos', 'lotus', 'marketing', 'mas90', 'excel', 'outlook express', 'windows', 'word', 'netscape', 'payroll', 'personnel', 'quickbooks']",46,"['coding', 'reporting', 'collections', 'billing', 'depreciation', 'salary changes', 'reconciliation', 'asset reconciliation', 'banking information', 'auditing', 'vendor invoice auditing', 'organizational skills', 'administrative', 'transaction verification', 'policy matters', 'financial statements', 'payroll process', 'payment processing', 'contract processing']",0.3499999999999999,Mechanical Engineer,2.0,Low Match,Master,Accounting & Financial Management,Payroll Accountant,0,6.0
"A challenging position in a Manufacturing, Engineering, or Research & Development environment where my overall technical background, along with my leadership and decision making capabilities will be combined to contribute to company goals, enlargement, & productivity.","['Data entry', 'Employee training', 'Equipment maintenance', 'ERP : Microsoft AX Dynamics', 'Failure analysis', 'Inspection', 'Lean manufacturing', 'Mechanical processes', 'protocols execution', 'Supervisory', 'System integration', 'Team player', 'Troubleshooting']",['East Boston High School'],['Diploma'],['1999'],[None],[None],[None],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['April 2015', 'February 2015', 'February 2004', 'September 1999', 'April 2003', 'March 2001']","['Current', 'April 2015', 'June 2014', 'January 2004', 'September 2003', 'January 2002']","[None, None, None, None, None, None]","['Engineering Technician', 'Sr. Repair Technician', 'Lead Manufacturing Technician Production Supervisor', 'Wafer Fab Technician', 'Assembler/Operator', 'Test Technician']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","['data entry', 'employee training', 'equipment maintenance', 'erp : microsoft ax dynamics', 'failure analysis', 'inspection', 'lean manufacturing', 'mechanical processes', 'protocols execution', 'supervisory', 'system integration', 'team player', 'troubleshooting']",13,[],0.683333333,Head of Internal Control & Compliance (ICC) - SEVP/DMD,15.0,Mid Match,Diploma,,Engineering Technician,0,9.0
,"['Data Analyst', 'Data Mining', 'Data Visualization', 'Machine Learning', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'SQL Server', 'Oracle', 'Python']",['Garodia Institute of Technosciences'],['B.Tech'],['2020'],['N/A'],[None],['Civil'],['DICTIS'],[None],['Jan 2020'],['Apr 2020'],[['decision making']],['Intern Trainee'],['N/A'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration","['data analyst', 'data mining', 'data visualization', 'machine learning', 'linear regression', 'statistical modeling', 'predictive modeling', 'sql server', 'oracle', 'python']",10,['decision making'],0.65,Intern (Generative AI Engineering - 2D/3D Image Generation),,Mid Match,B.Tech,Civil,Intern Trainee,3,
I am looking for another opportunity within USA in infrastructure consulting/ Systems Administration that gives me the opportunity to excel in my current skills and paves way for learning new technologies.,"['active directory', 'bridges', 'client', 'Designing', 'DHCP', 'DNS', 'imaging', 'ITIL v', 'Managing', 'messaging', 'access', 'MCSE', 'mail', 'office', 'outlook', 'Microsoft technologies', 'Windows', 'window', 'Migration', 'network', 'networks', 'producer', 'routers', 'servers', 'SLA', 'technical support', 'desktop support', 'troubleshooting', 'upgrade']","['National Institute of Technology(NIT) City , India']",['Bachelor of Engineering (B.E'],[None],[None],[None],[None],"['Avanade', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['July 2008', 'April 2007', 'January 2006', 'January 2004']","['January 2015', 'July 2008', 'March 2007', 'January 2006']","[['SCOM', 'SCCM', 'System Center', 'Windows', 'DNS', 'DHCP', 'WINS', 'Virtualization', 'Hyper V'], ['SCOM', 'SCCM'], ['Active Directory', 'Windows', 'SCOM'], ['Technical Support', 'AD Maintenance', 'Networking', 'Desktop Support']]","['Software Engineering Team Lead', 'IT Analyst', 'Windows Administrator', 'Technical Support Engineer']","['USA', None, None, None]","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['active directory', 'bridges', 'client', 'designing', 'dhcp', 'dns', 'imaging', 'itil v', 'managing', 'messaging', 'access', 'mcse', 'mail', 'office', 'outlook', 'microsoft technologies', 'windows', 'window', 'migration', 'network', 'networks', 'producer', 'routers', 'servers', 'sla', 'technical support', 'desktop support', 'troubleshooting', 'upgrade']",29,"['ad maintenance', 'system center', 'dns', 'dhcp', 'active directory', 'desktop support', 'scom', 'wins', 'networking', 'sccm', 'hyper v', 'technical support', 'windows', 'virtualization']",0.793333333,Mechanical Engineer,2.0,High Match,Bachelor of Engineering (B.E,,Software Engineering Team Lead,0,6.0
